user,total_logons,after_hours_logons,device_connections,sentiment,anomaly_score,is_insider
AJF0370,3267,1889.0,4261.0,0.1393280621339445,-0.28594793581687794,False
IBB0359,3086,1786.0,3935.0,0.08248903883227761,-0.2801202709719055,False
BAL0044,3146,2181.0,1130.0,0.12712353896103895,-0.24066574571487742,False
EIS0041,3052,2141.0,1323.0,0.12536683906297535,-0.22901836509801676,False
HDS0367,3035,1834.0,1364.0,0.09959746276889134,-0.2241025751389295,False
MPM0220,2005,1416.0,2494.0,0.09955886432596446,-0.20313790958525946,True
UIR0043,2860,2195.0,0.0,0.21424685483870967,-0.19662085515812644,False
WPR0368,3470,2125.0,0.0,0.11825977062196735,-0.19211282818869235,False
BSS0369,1924,1134.0,2740.0,0.08350613043478261,-0.1873581475790409,True
OBH0499,1469,72.0,3706.0,0.11517871247391236,-0.18370102855491943,False
